# Common medications found in Cambodian prescriptions
# Format: brand_name|generic_name|therapeutic_class
Aminophylline|Aminophylline|Bronchodilator
Theophylline|Theophylline|Bronchodilator
Metoclopramide|Metoclopramide|Antiemetic
Domperidone|Domperidone|Antiemetic
Ondansetron|Ondansetron|Antiemetic
Loperamide|Loperamide|Antidiarrheal
ORS|Oral Rehydration Salts|Oral Rehydration
Zinc|Zinc|Mineral Supplement
Multivitamin|Multivitamin|Vitamin Supplement
Multivitamine|Multivitamin|Vitamin Supplement
Vitamin A|Vitamin A|Vitamin Supplement
Vitamin B Complex|Vitamin B Complex|Vitamin Supplement
Vitamin B1|Thiamine|Vitamin Supplement
Vitamin B6|Pyridoxine|Vitamin Supplement
Vitamin B12|Cyanocobalamin|Vitamin Supplement
Vitamin C|Ascorbic Acid|Vitamin Supplement
Vitamin D|Cholecalciferol|Vitamin Supplement
Vitamin E|Tocopherol|Vitamin Supplement
Folic Acid|Folic Acid|Vitamin Supplement
Iron|Ferrous Sulfate|Mineral Supplement
Calcium|Calcium Carbonate|Mineral Supplement
Ferrous Sulfate|Ferrous Sulfate|Mineral Supplement
Butylscopolamine|Butylscopolamine|Antispasmodic
Hyoscine|Hyoscine Butylbromide|Antispasmodic
Buscopan|Hyoscine Butylbromide|Antispasmodic
Mebeverine|Mebeverine|Antispasmodic
Albendazole|Albendazole|Anthelmintic
Mebendazole|Mebendazole|Anthelmintic
Praziquantel|Praziquantel|Anthelmintic
Artemether-Lumefantrine|Artemether-Lumefantrine|Antimalarial
Chloroquine|Chloroquine|Antimalarial
Quinine|Quinine|Antimalarial
Fluconazole|Fluconazole|Antifungal
Ketoconazole|Ketoconazole|Antifungal
Clotrimazole|Clotrimazole|Antifungal
Acyclovir|Acyclovir|Antiviral
Oseltamivir|Oseltamivir|Antiviral
Diazepam|Diazepam|Benzodiazepine
Alprazolam|Alprazolam|Benzodiazepine
Phenobarbital|Phenobarbital|Anticonvulsant
Carbamazepine|Carbamazepine|Anticonvulsant
Phenytoin|Phenytoin|Anticonvulsant
Valproic Acid|Valproic Acid|Anticonvulsant
Amitriptyline|Amitriptyline|Antidepressant - TCA
Fluoxetine|Fluoxetine|Antidepressant - SSRI
Sertraline|Sertraline|Antidepressant - SSRI
Haloperidol|Haloperidol|Antipsychotic
Chlorpromazine|Chlorpromazine|Antipsychotic
Risperidone|Risperidone|Antipsychotic
Warfarin|Warfarin|Anticoagulant
Heparin|Heparin|Anticoagulant
Clopidogrel|Clopidogrel|Antiplatelet
Nystatin|Nystatin|Antifungal
Methotrexate|Methotrexate|Immunosuppressant
Azathioprine|Azathioprine|Immunosuppressant
Allopurinol|Allopurinol|Antigout
Colchicine|Colchicine|Antigout
Sildenafil|Sildenafil|PDE5 Inhibitor
Tamsulosin|Tamsulosin|Alpha Blocker
Finasteride|Finasteride|5-alpha Reductase Inhibitor
Oxybutynin|Oxybutynin|Anticholinergic
Ranitidine|Ranitidine|H2 Blocker
Sucralfate|Sucralfate|GI Protectant
Bismuth|Bismuth Subsalicylate|GI Protectant
Activated Charcoal|Activated Charcoal|Antidote
Atropine|Atropine|Anticholinergic
Epinephrine|Epinephrine|Sympathomimetic
Lidocaine|Lidocaine|Local Anesthetic
Magnesium Sulfate|Magnesium Sulfate|Electrolyte
Potassium Chloride|Potassium Chloride|Electrolyte
Normal Saline|Sodium Chloride 0.9%|IV Fluid
Ringer Lactate|Ringer Lactate|IV Fluid
Dextrose|Dextrose|IV Fluid
Dopamine|Dopamine|Vasopressor
Dobutamine|Dobutamine|Inotrope
Oxytocin|Oxytocin|Uterotonic
Misoprostol|Misoprostol|Prostaglandin
Ergometrine|Ergometrine|Uterotonic
Methyldopa|Methyldopa|Antihypertensive
Nifedipine|Nifedipine|Antihypertensive - CCB
Magnesium Hydroxide|Magnesium Hydroxide|Antacid
Aluminum Hydroxide|Aluminum Hydroxide|Antacid
Lactulose|Lactulose|Laxative
Bisacodyl|Bisacodyl|Laxative
Senna|Senna|Laxative
Docusate|Docusate Sodium|Stool Softener
Betamethasone|Betamethasone|Corticosteroid
Clobetasol|Clobetasol|Corticosteroid - Topical
Mupirocin|Mupirocin|Antibiotic - Topical
Silver Sulfadiazine|Silver Sulfadiazine|Antibiotic - Topical
Chlorhexidine|Chlorhexidine|Antiseptic
Povidone Iodine|Povidone Iodine|Antiseptic
Tetanus Toxoid|Tetanus Toxoid|Vaccine
Hepatitis B Vaccine|Hepatitis B Vaccine|Vaccine
BCG|BCG Vaccine|Vaccine
Gabapentin|Gabapentin|Anticonvulsant - Neuropathic Pain
Pregabalin|Pregabalin|Anticonvulsant - Neuropathic Pain
Metronidazol|Metronidazole|Antibiotic - Nitroimidazole
Amoxiciline|Amoxicillin|Antibiotic - Penicillin
Cefixime|Cefixime|Antibiotic - Cephalosporin
Levofloxacin|Levofloxacin|Antibiotic - Fluoroquinolone
Norfloxacin|Norfloxacin|Antibiotic - Fluoroquinolone
Tinidazole|Tinidazole|Antibiotic - Nitroimidazole
Clindamycin|Clindamycin|Antibiotic - Lincosamide
Clarithromycin|Clarithromycin|Antibiotic - Macrolide
